Date,Time,Steps,Heartrate,Movement
2023-1-21,5:20,0,,11
2023-1-21,5:30,0,,11
2023-1-21,5:40,0,,11
2023-1-21,5:50,0,,11
2023-1-21,6:00,0,,10
2023-1-21,6:10,0,,11
2023-1-21,6:20,0,,11
2023-1-21,6:30,0,,11
2023-1-21,6:40,0,,11
2023-1-21,6:50,0,,10
2023-1-21,7:00,0,,11
2023-1-21,7:10,0,,11
2023-1-21,7:20,0,,11
2023-1-21,7:30,0,,11
2023-1-21,7:40,0,,11
2023-1-21,7:50,0,,11
2023-1-21,8:00,0,,11
2023-1-21,8:10,0,,11
2023-1-21,8:20,0,,11
2023-1-21,8:30,0,,10
2023-1-21,8:40,0,,10
2023-1-21,8:50,0,,11
2023-1-21,9:00,0,,11
2023-1-21,9:10,0,,10
2023-1-21,9:20,0,,11
2023-1-21,9:30,0,,11
2023-1-21,9:40,0,,10
2023-1-21,9:50,0,,11
2023-1-21,10:00,0,,11
2023-1-21,10:10,0,,11
2023-1-21,10:20,0,,11
2023-1-21,10:30,0,,11
2023-1-21,10:40,0,,11
2023-1-21,10:50,0,,11
2023-1-21,11:00,0,,10
2023-1-21,11:10,0,,11
2023-1-21,11:20,0,,11
2023-1-21,11:30,0,,10
2023-1-21,11:40,0,,10
2023-1-21,11:50,0,,10
2023-1-21,12:00,0,,11
2023-1-21,12:10,0,,11
2023-1-21,12:20,0,,10
2023-1-21,12:30,0,,11
2023-1-21,12:40,0,,10
2023-1-21,12:50,0,,11
2023-1-21,13:00,0,,10
2023-1-21,13:10,0,,11
2023-1-21,13:20,0,,10
2023-1-21,13:30,0,,10
2023-1-21,13:40,0,,11
2023-1-21,13:50,0,,11
2023-1-21,14:00,0,,39
2023-1-21,14:10,373,,137
2023-1-21,14:20,749,,152
2023-1-21,14:30,51,,75
2023-1-21,14:40,376,,98
2023-1-21,14:50,585,,122
2023-1-21,15:00,84,,87
2023-1-21,15:10,7,,17
2023-1-21,15:20,7,,22
2023-1-21,15:30,0,,18
2023-1-21,15:40,15,,27
2023-1-21,15:50,0,,8
2023-1-21,16:00,0,,10
2023-1-21,16:10,0,,18
2023-1-21,16:20,32,,35
2023-1-21,16:30,70,,61
2023-1-21,16:40,82,,63
2023-1-21,16:50,24,,45
2023-1-21,17:00,49,,81
2023-1-21,17:10,19,,33
2023-1-21,17:20,8,,20
2023-1-21,17:30,0,,38
2023-1-21,17:40,0,,15
2023-1-21,17:50,7,,34
2023-1-21,18:00,518,,133
2023-1-21,18:10,338,,98
2023-1-21,18:20,287,,103
2023-1-21,18:30,242,,71
2023-1-21,18:40,6,,36
2023-1-21,18:50,6,,38
2023-1-21,19:00,687,,119
2023-1-21,19:10,21,,57
2023-1-21,19:20,14,,37
2023-1-21,19:30,6,,43
2023-1-21,19:40,37,,44
2023-1-21,19:50,6,,22
2023-1-21,20:00,0,,17
2023-1-21,20:10,0,,29
2023-1-21,20:20,6,,44
2023-1-21,20:30,18,,30
2023-1-21,20:40,13,,37
2023-1-21,20:50,7,,25
2023-1-21,21:00,0,,30
2023-1-21,21:10,8,,27
2023-1-21,21:20,0,,31
2023-1-21,21:30,0,,23
2023-1-21,21:40,133,,79
2023-1-21,21:50,54,,54
2023-1-21,22:00,743,,146
2023-1-21,22:10,6,,30
2023-1-21,22:20,0,,42
2023-1-21,22:30,0,,32
2023-1-21,22:40,329,,133
2023-1-21,22:50,424,,165
2023-1-21,23:00,0,,8
2023-1-21,23:10,0,,11
2023-1-21,23:20,0,,11
2023-1-21,23:30,0,,22
2023-1-21,23:40,0,,11
2023-1-21,23:50,0,,11
2023-1-22,0:00,0,,10
2023-1-22,0:10,0,,11
2023-1-22,0:20,0,,11
2023-1-22,0:30,0,,11
2023-1-22,0:40,0,,11
2023-1-22,0:50,0,,11
2023-1-22,1:00,0,,11
2023-1-22,1:10,0,,11
2023-1-22,1:20,0,,11
2023-1-22,1:30,0,,11
2023-1-22,1:40,0,,11
2023-1-22,1:50,0,,11
2023-1-22,2:00,0,,11
2023-1-22,2:10,0,,11
2023-1-22,2:20,0,,11
2023-1-22,2:30,0,,11
2023-1-22,2:40,0,,11
2023-1-22,2:50,0,,11
2023-1-22,3:00,0,,11
2023-1-22,3:10,0,,11
2023-1-22,3:20,0,,11
2023-1-22,3:30,0,,11
2023-1-22,3:40,0,,11
2023-1-22,3:50,0,,11
2023-1-22,4:00,0,,11
2023-1-22,4:10,0,,11
2023-1-22,4:20,0,,11
2023-1-22,4:30,0,,11
2023-1-22,4:40,0,,11
2023-1-22,4:50,0,,11
2023-1-22,5:00,0,,11
2023-1-22,5:10,0,,11
2023-1-22,5:20,0,,11
2023-1-22,5:30,0,,11
2023-1-22,5:40,0,,11
2023-1-22,5:50,0,,11
2023-1-22,6:00,0,,11
2023-1-22,6:10,0,,11
2023-1-22,6:20,0,,11
2023-1-22,6:30,0,,11
2023-1-22,6:40,0,,11
2023-1-22,6:50,0,,11
2023-1-22,7:00,0,,11
2023-1-22,7:10,0,,11
2023-1-22,7:20,0,,11
2023-1-22,7:30,0,,11
2023-1-22,7:40,0,,11
2023-1-22,7:50,0,,11
2023-1-22,8:00,0,,11
2023-1-22,8:10,0,,11
2023-1-22,8:20,0,,11
2023-1-22,8:30,0,,11
2023-1-22,8:40,0,,11
2023-1-22,8:50,0,,11
2023-1-22,9:00,0,,11
2023-1-22,9:10,0,,11
2023-1-22,9:20,0,,11
2023-1-22,9:30,0,,11
2023-1-22,9:40,0,,11
2023-1-22,9:50,0,,11
2023-1-22,10:00,0,,11
2023-1-22,10:10,0,,11
2023-1-22,10:20,0,,11
2023-1-22,10:30,0,,11
2023-1-22,10:40,0,,11
2023-1-22,10:50,0,,11
2023-1-22,11:00,0,,11
2023-1-22,11:10,0,,11
2023-1-22,11:20,0,,11
2023-1-22,11:30,0,,11
2023-1-22,11:40,0,,11
2023-1-22,11:50,0,,11
2023-1-22,12:00,0,,11
2023-1-22,12:10,0,,11
